CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-08-0451-43,16-013,ALTA VERAPAZ,SENAHU,EORM,COOPERATIVA SERITQUICHE,40671129,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0452-43,16-015,ALTA VERAPAZ,SENAHU,EORM,ALDEA SECOYOCTE,,OSCAR RENE VENTURA ZAC,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0453-43,16-042,ALTA VERAPAZ,SENAHU,EORM,COOPERATIVA CHIREAJ,,JORGE ERWIN CUCUL QUIB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0454-43,,ALTA VERAPAZ,SENAHU,EORM,ALDEA CHULAC,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0455-43,,ALTA VERAPAZ,SENAHU,EORM,ALDEA CHIJOLOM,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0456-43,,ALTA VERAPAZ,SENAHU,EPRM,EL CAMPOSANTO,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0458-43,,ALTA VERAPAZ,SENAHU,EPRM,FINCA TUILA,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0459-43,16-013,ALTA VERAPAZ,SENAHU,EOUM OSCAR OVALLE SAMAYOA,BARRIO EL CENTRO,57684576,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0460-43,16-040,ALTA VERAPAZ,SENAHU,EORM,FINCA COOPERATIVA SANTA MARIA,,DULLIER CLEMENTE BOL BAC,--,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0461-43,16-013,ALTA VERAPAZ,SENAHU,EORM,CASERIO SEQUILA I,30610162,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0462-43,16-015,ALTA VERAPAZ,SENAHU,EORM,COOPERATIVA SAN FRANCISCO,,OSCAR RENE VENTURA ZAC,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0463-43,16-013,ALTA VERAPAZ,SENAHU,EORM,CASERIO SEOCOB,40131776,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0464-43,,ALTA VERAPAZ,SENAHU,EPRM,COOPERATIVA SEPACAY,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0465-43,16-013,ALTA VERAPAZ,SENAHU,EORM,CASERIO SESOCH XALIBE,30596086,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0471-43,16-013,ALTA VERAPAZ,SENAHU,EPRM,FINCA EL VOLCAN,,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0473-43,16-013,ALTA VERAPAZ,SENAHU,EORM DENIS SCOTT KOESTER,ALDEA LAS DELICIAS,,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0474-43,16-013,ALTA VERAPAZ,SENAHU,EORM,CASERIO SEQUILA II,,OSCAR ANIBAL GARCIA HUMBLERS,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0476-43,,ALTA VERAPAZ,SENAHU,EORM,CASERIO CHACCHILA,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0478-43,16-015,ALTA VERAPAZ,SENAHU,EORM,CASERIO LAS GALLINAS,,OSCAR RENE VENTURA ZAC,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0480-43,16-015,ALTA VERAPAZ,SENAHU,EPRM,FINCA QUICHEJA,,OSCAR RENE VENTURA ZAC,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0481-43,,ALTA VERAPAZ,SENAHU,EORM,COOPERATIVA ACTELA FINCA SEOCOB,,,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0482-43,,ALTA VERAPAZ,SENAHU,EPRM,FINCA CABAÑAS,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-0483-45,16-013,ALTA VERAPAZ,SENAHU,INSTITUTO DE EDUCACIÓN BÁSICA POR EL SISTEMA DE COOPERATIVA DE ENSEÑANZA,BARRIO SANTIAGUILA,,OSCAR ANIBAL GARCIA HUMBLERS,,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1142-43,16-040,ALTA VERAPAZ,SENAHU,EORM,COMUNIDAD DE SAN MIGUEL MOCCA,,DULLIER CLEMENTE BOL BAC,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-08-1154-41,16-041,ALTA VERAPAZ,SENAHU,COPB ANEXO A EORM,COMUNIDAD NUEVO SAN NICOLAS,,ABNER DAVID CHIQUN TURCIOS,NORMA VIOLETA DE LA CRUZ PEREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
