CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
15-01-0018-43,15-002,BAJA VERAPAZ,SALAMA,EOUM,BARRIO LAS PIEDRECITAS,79400000,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0019-43,15-002,BAJA VERAPAZ,SALAMA,EOTF 'JOSE CLEMENTE CHAVARRIA',BARRIO HACIENDA DE LA VIRGEN,79400515,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0020-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL NANCE,49712495,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0021-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LAS ANONAS,,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0022-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA LA PAZ CHOCOJA NO.1,,MARVIN ESTUARDO REYES GUZMAN,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0023-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA RINCON GRANDE,55150865,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0024-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA SAN IGNACIO,31176570,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0025-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA LA PAZ CHOCOJA NO. 2,42483315,MARVIN ESTUARDO REYES GUZMAN,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0026-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL CHAGUITE,42386887,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0027-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA CACHIL,45438821,MARVIN ESTUARDO REYES GUZMAN,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0028-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL CARMEN,,MARVIN ESTUARDO REYES GUZMAN,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0029-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA EL TUNAL,40010890,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0030-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA SAN JUAN,79401469,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0031-43,15-002,BAJA VERAPAZ,SALAMA,EORM,ALDEA LAS TUNAS,42000711,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0032-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LAS VIGAS,42713737,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0033-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA VAINILLAS,42354355,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0034-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA LA LAGUNA,,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0035-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA RANCHO VIEJO,31980971,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0036-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA SAN VICENTE,42713737,MARVIN ESTUARDO REYES GUZMAN,LILIAN OFELIA LÓPEZ CAHUEC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0037-43,15-002,BAJA VERAPAZ,SALAMA,EORM,ALDEA PASO ANCHO,59795545,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0038-43,15-002,BAJA VERAPAZ,SALAMA,EORM,ALDEA SAN NICOLAS,41225830,MIGUEL ANGEL ATZIJ PICON,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0039-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA SAN ANTONIO EL SITIO,55109332,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0040-43,15-005,BAJA VERAPAZ,SALAMA,EORM,ALDEA PACALAJ,49203010,MARVIN ESTUARDO REYES GUZMAN,EDGAR ORLANDO GARCÍA HERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
15-01-0041-43,15-003,BAJA VERAPAZ,SALAMA,EORM,ALDEA CUMBRE SANTA ISABEL,42971967,WILMER OMAR FRANCISCO FERNANDEZ TUJAB,LILIÁN MARIBEL RODRÍGUEZ XITUMUL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),BAJA VERAPAZ
