CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-02-6025-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP,"ALDEA EL CARMEN, SECTOR II SANTA CATARINA PINULA",50164163,ZOILA ESPERANZA CAMEY ATZ,CARMEN DALILA CHÁVEZ VÁSQUEZ,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6029-42,01-502,GUATEMALA,SANTA CATARINA PINULA,EODP,ALDEA EL PAJON,56324717,JULIA ENECON ROCA MORAN,LESBIA MARLENE COLINDRES PANIAGUA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6030-42,01-502,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM,"1A. AVENIDA 8-76, SECTOR 1, ZONA 3 ALDEA EL PUEBLITO",56967204,JULIA ENECON ROCA MORAN,ANA CLARISEL ÁVILA RAMÍREZ DE VICENTE,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6165-42,01-502,GUATEMALA,SANTA CATARINA PINULA,EPDP 'JARDIN INFANTIL MI CABAÑITA',KM 13.7 CARRETERA A EL SALVADOR ALDEA PUERTA PARADA,66370647,JULIA ENECON ROCA MORAN,,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6248-42,,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EOUM NO.818,KM 16.5 CARRETERA A EL SALVADOR ALDEA DON JUSTO,,,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6321-42,01-502,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM NO.813,ALDEA NUEVA CONCEPCION,66420068,JULIA ENECON ROCA MORAN,ELBA ROXANA PÉREZ ROSIL DE SOLÓRZANO,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6459-42,01-510,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM NO.819,ALDEA LA SALVADORA,34832546,ZOILA ESPERANZA CAMEY ATZ,HECTOR MANRIQUE URBINA RAFAEL,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6761-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO MAYA DE GUATEMALA,"KILOMETRO 12.5, CARRETERA A EL SALVADOR",66441200,JULIA ENECON ROCA MORAN,VILMA LORENA LEON OLIVA DE HERNANDEZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6810-42,01-510,GUATEMALA,SANTA CATARINA PINULA,COLEGIO LA MERCED,3A. AVENIDA 4-48 ZONA 2,23677412,ZOILA ESPERANZA CAMEY ATZ,,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6811-42,,GUATEMALA,SANTA CATARINA PINULA,COLEGIO LA MERCED,3A. AVENIDA 4-48 ZONA 2,23370091,,,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6917-42,01-644,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM,ALDEA LAGUNA BERMEJA,50372771,LIGIA DEL ROSARIO RICCI VELASQUEZ,MARÍA DEL ROSARIO GUZMÁN GIRÓN DE RAMÍREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-6990-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO MIXTO 'EL DERECHO AL SABER',"LOTE NO. 10 MANZANA K, SECTOR I, COLONIA SANTO DOMINGO",53025052,JULIA ENECON ROCA MORAN,,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7031-42,01-644,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM,ALDEA PIEDRA PARADA EL ROSARIO,56323272,LIGIA DEL ROSARIO RICCI VELASQUEZ,HÉCTOR ANIBAL CÁRCAMO ESTRADA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7117-42,01-510,GUATEMALA,SANTA CATARINA PINULA,COLEGIO MIXTO TECNICO EN COMPUTACION VISTA AZUL,1RA. CALLE CUCHILLA DEL CARMEN,24438611,ZOILA ESPERANZA CAMEY ATZ,SONIA LUCRECIA DE LEÓN TUT,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7138-42,01-510,GUATEMALA,SANTA CATARINA PINULA,COLEGIO EL CARMEN,"SECTOR SUR NO.6 CASA NO.61, ALDEA EL CARMEN",52039803,ZOILA ESPERANZA CAMEY ATZ,ZULEMA YAMILETH ICUTE GARCIA,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7170-42,01-510,GUATEMALA,SANTA CATARINA PINULA,COLEGIO MIXTO 'OLIVER',3A. AVE. 'A' 6-28 ZONA 1 ALDEA EL PUEBLITO,23660432,ZOILA ESPERANZA CAMEY ATZ,,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7176-42,01-502,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO 'EL PERPETUO SOCORRO',KM. 15.5 ANTIGUA CARRETERA A EL SALVADOR ALDEA DON JUSTO,66373695,JULIA ENECON ROCA MORAN,REYNA ARACELY CELADA RAMOS DE MÉNDEZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7439-42,01-644,GUATEMALA,SANTA CATARINA PINULA,COLEGIO METROPOLITANO,"KM. 16.5 CARRETERA A PIEDRA PARADA, CRISTO REY",66417400,LIGIA DEL ROSARIO RICCI VELASQUEZ,ALBIS JUDITH OCHOA RAMÍREZ DE SOLARES,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7482-42,01-510,GUATEMALA,SANTA CATARINA PINULA,LICEO MIXTO CRISTIANO CARMENSE,SECTOR CENTRAL 3 CASA 42,66291796,ZOILA ESPERANZA CAMEY ATZ,ILSE LORENA RAFAEL HERNÁNDEZ,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7551-42,01-644,GUATEMALA,SANTA CATARINA PINULA,EODP ANEXA A EORM NO.822,ALDEA SAN JOSE EL MANZANO,59962997,LIGIA DEL ROSARIO RICCI VELASQUEZ,GERARDO CARAVANTES LOARCA,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-7565-42,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO 'LA PLACE',"KM.18.2 CARRETERA AL SALVADOR, CRUCE CARRETERA VIEJA",66346612,JULIA ENECON ROCA MORAN,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
